"","X","trial_num","image_ID_targets","image_ID_pairs","response_pairs","ID","target_global","target_local","target_number","target_spacing","target_confound","pair_left_global","pair_left_local","pair_left_number","pair_right_global","pair_right_local","pair_right_number","Age","Range","choice","choice_number"
"175",9,9,"11_R.png","3_R.png","z","blg013","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"5","5","global",1
"176",10,10,"3.png","1.png","z","blg013","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"5","5","global",1
"177",11,11,"3_R.png","1_R.png","m","blg013","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"5","5","global",1
"178",12,12,"9.png","3.png","z","blg013","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"5","5","global",1
"179",13,13,"4.png","2.png","z","blg013","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"5","5","global",1
"180",14,14,"12.png","4.png","z","blg013","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"5","5","global",1
"181",15,15,"9_R.png","3_R.png","z","blg013","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"5","5","local",0
"182",16,16,"5.png","1.png","z","blg013","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"5","5","local",0
"183",17,17,"1_R.png","1_R.png","z","blg013","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"5","5","global",1
"184",18,18,"6_R.png","2_R.png","z","blg013","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"5","5","global",1
"185",19,19,"11.png","3.png","m","blg013","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"5","5","global",1
"186",20,20,"12_R.png","4_R.png","m","blg013","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"5","5","global",1
"187",21,21,"10.png","4.png","m","blg013","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"5","5","global",1
"188",22,22,"1.png","1.png","m","blg013","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"5","5","global",1
"189",23,23,"8_R.png","2_R.png","m","blg013","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"5","5","global",1
"190",24,24,"7.png","1.png","m","blg013","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"5","5","local",0
"191",1,1,"9_R.png","3_R.png","z","blg014","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"8","6 to 8","local",0
"192",2,2,"3_R.png","1_R.png","z","blg014","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","local",0
"193",3,3,"5.png","1.png","z","blg014","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","local",0
